id_transacao,nome_cliente,data_emissao,data_vencimento,valor,meio_pagamento,recorrencia,elegivel_antecipacao,tipo_cliente
645e30cb,Alves e Filhos,2023-01-08,2023-01-08,208.78,Cartão de Crédito,Anual,True,Novo/Avulso
bbb309aa,da Cruz,2023-01-03,2023-02-02,1740.24,Pix,Avulso,False,Novo/Avulso
de20c321,Carvalho Sousa S/A,2023-01-17,2023-02-16,370.18,Boleto,Mensal,True,Novo/Avulso
0bea0c8d,Alves e Filhos,2023-01-23,2023-02-22,208.78,Cartão de Crédito,Anual,False,Recorrente
93c33779,Carvalho Sousa S/A,2023-01-08,2023-01-23,370.18,Boleto,Mensal,False,Recorrente
a4aa0c27,Pastor - ME,2023-01-23,2023-02-07,165.27,Boleto,Avulso,False,Novo/Avulso
adbde6a9,Alves S/A,2023-01-04,2023-01-04,655.99,Cartão de Crédito,Mensal,False,Novo/Avulso
2097576e,da Conceição Montenegro - EI,2023-01-09,2023-01-09,2141.61,Pix,Mensal,False,Novo/Avulso
371c7410,Alves e Filhos,2023-03-27,2023-04-26,208.78,Cartão de Crédito,Anual,False,Recorrente
ee50c6d6,Carvalho Sousa S/A,2023-03-19,2023-03-19,370.18,Boleto,Mensal,True,Recorrente
3c5088d6,Alves S/A,2023-03-02,2023-04-01,655.99,Cartão de Crédito,Mensal,True,Recorrente
e30f9788,da Conceição Montenegro - EI,2023-03-25,2023-04-09,2141.61,Pix,Mensal,True,Recorrente
69ad7234,Novais S.A.,2023-03-09,2023-03-24,2186.24,Cartão de Crédito,Avulso,False,Novo/Avulso
5eb1d074,Câmara,2023-03-09,2023-04-08,984.89,Pix,Mensal,True,Novo/Avulso
7ab27cc5,Pastor,2023-03-08,2023-03-08,552.18,Pix,Anual,False,Novo/Avulso
3818f9fc,Alves e Filhos,2023-04-25,2023-04-25,208.78,Cartão de Crédito,Anual,True,Recorrente
046271cc,Carvalho Sousa S/A,2023-04-27,2023-04-27,370.18,Boleto,Mensal,False,Recorrente
f26aa5aa,Alves S/A,2023-04-13,2023-04-28,655.99,Cartão de Crédito,Mensal,True,Recorrente
7fe32fe1,da Conceição Montenegro - EI,2023-04-07,2023-05-07,2141.61,Pix,Mensal,False,Recorrente
1214ff21,Câmara,2023-04-07,2023-05-07,984.89,Pix,Mensal,False,Recorrente
7d795be6,Pastor,2023-04-13,2023-05-13,552.18,Pix,Anual,False,Recorrente
2ae91ac0,Abreu,2023-04-18,2023-05-18,478.13,Pix,Mensal,False,Novo/Avulso
c1eb4417,Sampaio Lima Ltda.,2023-04-13,2023-04-28,1156.82,Pix,Avulso,True,Novo/Avulso
f8ce6137,Cassiano,2023-04-03,2023-04-03,475.08,Cartão de Crédito,Avulso,True,Novo/Avulso
1013c695,Alves e Filhos,2023-05-09,2023-06-08,208.78,Cartão de Crédito,Anual,True,Recorrente
a84e7d39,Carvalho Sousa S/A,2023-05-22,2023-06-21,370.18,Boleto,Mensal,True,Recorrente
1b11d724,Alves S/A,2023-05-22,2023-06-21,655.99,Cartão de Crédito,Mensal,False,Recorrente
533f8334,da Conceição Montenegro - EI,2023-05-25,2023-06-24,2141.61,Pix,Mensal,False,Recorrente
71e3ebcf,Câmara,2023-05-04,2023-05-19,984.89,Pix,Mensal,False,Recorrente
50901976,Pastor,2023-05-06,2023-05-21,552.18,Pix,Anual,True,Recorrente
83864090,Abreu,2023-05-31,2023-06-30,478.13,Pix,Mensal,False,Recorrente
789f77c2,Teixeira Fernandes S/A,2023-05-30,2023-05-30,1940.61,Pix,Avulso,False,Novo/Avulso
c6cdb32e,Garcia S/A,2023-05-05,2023-05-20,1343.01,Boleto,Avulso,True,Novo/Avulso
701b8160,Ferreira,2023-05-30,2023-05-30,1979.77,Pix,Anual,False,Novo/Avulso
096043b7,Alves e Filhos,2023-05-03,2023-05-03,208.78,Cartão de Crédito,Anual,False,Recorrente
1bdb5db1,Carvalho Sousa S/A,2023-05-27,2023-05-27,370.18,Boleto,Mensal,True,Recorrente
79a074d6,Alves S/A,2023-05-05,2023-06-04,655.99,Cartão de Crédito,Mensal,False,Recorrente
9fe569dd,da Conceição Montenegro - EI,2023-05-31,2023-06-30,2141.61,Pix,Mensal,True,Recorrente
8915b6cf,Câmara,2023-05-09,2023-06-08,984.89,Pix,Mensal,False,Recorrente
7f1495ce,Pastor,2023-05-31,2023-05-31,552.18,Pix,Anual,True,Recorrente
21619b4f,Abreu,2023-05-23,2023-06-07,478.13,Pix,Mensal,False,Recorrente
4ae0df86,Ferreira,2023-05-22,2023-06-21,1979.77,Pix,Anual,False,Recorrente
605058c4,Aparecida,2023-05-08,2023-05-08,1366.3,Boleto,Mensal,True,Novo/Avulso
7c165ec3,Nascimento,2023-05-19,2023-05-19,1532.53,Boleto,Mensal,True,Novo/Avulso
4cb12cf9,Garcia S/A,2023-05-03,2023-05-03,1633.09,Boleto,Mensal,False,Novo/Avulso
0d6bfb13,Alves e Filhos,2023-06-04,2023-07-04,208.78,Cartão de Crédito,Anual,False,Recorrente
ebd7aea4,Carvalho Sousa S/A,2023-06-12,2023-06-27,370.18,Boleto,Mensal,False,Recorrente
76e01a0c,Alves S/A,2023-06-15,2023-07-15,655.99,Cartão de Crédito,Mensal,True,Recorrente
ba13ee8b,da Conceição Montenegro - EI,2023-06-22,2023-07-22,2141.61,Pix,Mensal,True,Recorrente
0109740d,Câmara,2023-06-02,2023-06-17,984.89,Pix,Mensal,False,Recorrente
093f30a7,Pastor,2023-06-26,2023-06-26,552.18,Pix,Anual,True,Recorrente
1ea25ae5,Abreu,2023-06-07,2023-06-07,478.13,Pix,Mensal,False,Recorrente
702b59e2,Ferreira,2023-06-05,2023-06-20,1979.77,Pix,Anual,True,Recorrente
68c02bef,Aparecida,2023-06-09,2023-06-24,1366.3,Boleto,Mensal,True,Recorrente
75a78705,Nascimento,2023-06-28,2023-06-28,1532.53,Boleto,Mensal,False,Recorrente
7c9c0b5f,Garcia S/A,2023-06-26,2023-07-26,1633.09,Boleto,Mensal,True,Recorrente
5b1e5d38,Pires,2023-06-03,2023-06-03,2498.31,Boleto,Mensal,True,Novo/Avulso
c1adf431,Oliveira,2023-06-29,2023-06-29,1281.19,Cartão de Crédito,Mensal,True,Novo/Avulso
c70bbc2d,Santos Azevedo S/A,2023-06-30,2023-07-15,2465.48,Cartão de Crédito,Mensal,False,Novo/Avulso
8ad01d8c,Alves e Filhos,2023-07-28,2023-08-27,208.78,Cartão de Crédito,Anual,True,Recorrente
